'Casper' Brown, Jesse|Breakin' Till Dawn (2011)  (as Jesse Brown)  
'Casper' Brown, Jesse|DJ Dizzy's Dance Hizzy (2005) (V)  (as Jesse Brown)  
'Casper' Brown, Jesse|Honey 2 (2011)  [Freestyle Dancer]  
'Casper' Brown, Jesse|Justin Bieber's Believe (2013)  [B Boy]  
'Casper' Brown, Jesse|Kickin' It Old Skool (2007)  [Cole]  
'Casper' Brown, Jesse|Lemonade Mouth (2011) (TV)  (as Jesse Casper Brown)  [Dancer]  
'Casper' Brown, Jesse|Step Up All In (2014)  [Grim Knight Dancer]  
'Casper' Brown, Jesse|The Ho Down 
'Casper' Brown, Jesse|The LXD: The Secrets of the Ra (2011)  
'Casper' Brown, Jesse|"Star Camp" (2007) {Finale (#1.6)}  (as Jesse Brown)  
'Casper' Brown, Jesse|"The LXD: The Legion of Extraordinary Dancers" (2010) {Mark of the Ox (#2.4)}  
'Casper' Brown, Jesse|"The LXD: The Legion of Extraordinary Dancers" (2010) {Mess in Aisle 7 (#3.8)}  (as Bboy Casper)  
'Casper' Brown, Jesse|"The LXD: The Legion of Extraordinary Dancers" (2010) {Rise of the Drifts (#3.10)}  
'Casper' Brown, Jesse|"The LXD: The Legion of Extraordinary Dancers" (2010) {Rising (#2.3)}  
'Casper' Brown, Jesse|"The LXD: The Legion of Extraordinary Dancers" (2010) {The Good, the Bad and the Ra: Part 1 (#2.9)}  
'Casper' Brown, Jesse|"The LXD: The Legion of Extraordinary Dancers" (2010) {The Good, the Bad and the Ra: Part 2 (#2.10)}  
'Casper' Brown, Jesse|"Treme" (2010) {Carnival Time (#2.7)}  (as Jesse Brown)  
'Cherry, Sahel|The Emancipation of Anemone (????)  
'Chincheta', Eloy|¡Ja me maaten...! (2000)  [Gitano 1]  
'Chippa' Wilson, Chris|Out of Bounds (2012)  [Himself]  
'Chu' Estes, Marquis|"Moesha" (1996) {The List (#2.1)}  [Rapper #2]  
'Colibri'Viera, Gil|Todo x Sara (2014)  
'Crunch' Lenton, Mark|"Formula 1: BBC Sport" (2009) {The Chinese Grand Prix (#3.8)}  
'Cuba', Luis|Ambos mundos 
'Curly' Leach, Timothy|"Port Protection" (2015) {Between Water and Wolves (#1.1)}  
'Curly' Leach, Timothy|"Port Protection" (2015) {Collapse (#2.9)}  
'Curly' Leach, Timothy|"Port Protection" (2015) 
'Curly' Leach, Timothy|"Port Protection" (2015) {First Kill (#2.2)}  
'Curly' Leach, Timothy|"Port Protection" (2015) {Jack of All Trades (#2.7)}  
'Curly' Leach, Timothy|"Port Protection" (2015) {Legends in the Woods (#2.3)}  
'Curly' Leach, Timothy|"Port Protection" (2015) {Out of Luck (#1.3)}  
'Curly' Leach, Timothy|"Port Protection" (2015) {Rough Waters (#2.4)}  
'Curly' Leach, Timothy|"Port Protection" (2015) {Shell-Shocked (#2.8)}  
'Curly' Leach, Timothy|"Port Protection" (2015) {The Axeman Cometh (#1.2)}  
'Curly' Leach, Timothy|"Port Protection" (2015) {The End of the End (#2.11)}  
'Curly' Leach, Timothy|"Port Protection" (2015) {The Long Road (#2.6)}  
'Curly' Leach, Timothy|"Port Protection" (2015) {The Odyssey (#2.5)}  
'Curly' Leach, Timothy|"Port Protection" (2015) {Tiny Terrors (#2.10)}  
'da Handyman' Kretschmann, Jerry|Welcome to Slab City (2012)  
'Dead End' Kids, The|Angels with Dirty Faces (1938)  
'Dead End' Kids, The|Crime School (1938)  
'Dead End' Kids, The|Hell's Kitchen (1939)  
'Dead End' Kids, The|They Made Me a Criminal (1939)  
'Dead End' Kids, The|"Film Breaks" 
'Dibujo' Torres, Marcelino|Barrio Gangsters (2009)  
'Dicky' Clemson, Donnie|Cornmeal, Gunpowder, Ham Hocks and Guitar Strings (2015)  
'Doc Knotz' Laschinger, Roland|B Flat - or how to miss a blue note (2013)  
'Draico' Johnson, Dondraico|The LXD: The Secrets of the Ra (2011)  
'Dred' Gerestant, Mildred|"Dishing Tea with Big Meach" (2009) 
